partner,border,comlang,dist,pop,gdp,gdpcap,colony,gatt,rta,EU,import,export,tradevalue
AFG,0,0,5694.557,32.52656,1.93E+10,594.3231,1,0,0,0,642.655,37.438,680.093
AGO,0,0,7092.603,25.02197,1.03E+11,4101.472,0,1,0,0,0,12624.37,12624.37
ALB,0,0,2040.187,2.889167,1.14E+10,3945.218,0,1,1,0,577.304,1953.287,2530.591
ARE,0,0,5594.327,9.156963,3.70E+11,40438.76,1,1,0,0,24588.03,275485.1,300073.1
ARG,0,0,11136.96,43.41676,5.83E+11,13431.88,0,1,0,0,650321.1,9763.445,660084.6
ARM,0,0,3707.216,3.017712,1.05E+10,3489.128,0,1,0,0,0,79.707,79.707
ATG,0,1,6539.859,0.091818,1.26E+09,13714.73,1,1,1,0,413.009,2894.785,3307.794
AUS,0,1,16602.27,23.78117,1.34E+12,56310.96,1,1,0,0,232467.2,256461,488928.2
AUT,0,0,1290.561,8.611088,3.77E+11,43774.99,0,1,1,1,165671,83027.7,248698.7
AZE,0,0,3987.383,9.651349,5.30E+10,5496.345,0,0,0,0,191.305,565.054,756.359
BDI,0,0,6864.359,11.17892,3.10E+09,277.0683,0,1,0,0,1317.652,0,1317.652
BEL,0,0,448.2817,11.28572,4.55E+11,40324.03,0,1,1,1,2702734,507771.9,3210506
BEN,0,0,5001.853,10.87983,8.29E+09,762.0512,0,1,0,0,21.571,7904.6,7926.171
BFA,0,0,4499.802,18.10557,1.07E+10,589.7744,0,1,0,0,1542.803,3576.01,5118.813
BGD,0,0,8067.251,160.9956,1.95E+11,1211.702,1,1,0,0,122176.1,17346.77,139522.9
BGR,0,0,2237.415,7.177991,5.02E+10,6993.478,0,1,1,1,41313.91,18348.96,59662.87
BHR,0,0,5187.319,1.377237,3.11E+10,22600.21,1,1,0,0,67.476,26734.95,26802.43
BHS,0,1,6890.492,0.388019,8.85E+09,22817.23,1,0,1,0,0,4652.601,4652.601
BIH,0,0,1697.175,3.810416,1.62E+10,4249.331,0,0,1,0,364.801,886.498,1251.299
BLR,0,0,1957.355,9.513,5.46E+10,5740.457,0,0,0,0,3767.279,3572.433,7339.712
BLZ,0,1,8291.348,0.359287,1.75E+09,4878.722,1,1,1,0,121772.4,939.936,122712.4
BOL,0,0,9947.6,10.7247,3.30E+10,3076.792,0,1,0,0,49828.22,500.89,50329.11
BRA,0,0,8931.505,207.8475,1.77E+12,8538.59,0,1,0,0,932234.3,44963.5,977197.8
BRB,0,1,6743.458,0.284215,4.39E+09,15429.34,1,1,1,0,876.348,12792.83,13669.18
BRN,0,0,11292.95,0.423188,1.29E+10,30554.73,1,1,0,0,0,560.422,560.422
BTN,0,0,7722.053,0.77483,2.06E+09,2655.999,0,0,0,0,0,0,0
BWA,0,1,8861.969,2.262485,1.44E+10,6360.138,1,1,0,0,25452.49,94.975,25547.47
CAF,0,0,5600.536,4.900274,1.58E+09,323.2017,0,1,0,0,0,0,0
CAN,0,1,5849.772,35.85177,1.55E+12,43248.53,1,1,0,0,523610,210155.3,733765.3
CHE,0,0,902.2784,8.286976,6.71E+11,80945.08,0,1,1,0,110308.6,120665.7,230974.3
CHL,0,0,11689.2,17.94814,2.41E+11,13416.23,0,1,1,0,379946.3,13873.14,393819.4
CHN,0,0,8539.15,1371.22,1.10E+13,8027.684,0,1,0,0,806332.2,352312.6,1158645
CIV,0,0,5185.88,22.70156,3.18E+10,1398.99,0,1,1,0,259816.8,28250.69,288067.5
CMR,0,1,5329.47,23.34418,2.84E+10,1217.261,0,1,1,0,29344.08,2393.895,31737.97
COG,0,0,6473.513,4.62033,8.55E+09,1851.2,0,1,0,0,19.062,11732.42,11751.48
COL,0,0,8387.692,48.2287,2.92E+11,6056.148,0,1,1,0,329706.8,10962.19,340668.9
COM,0,0,8360.623,0.788474,5.66E+08,717.4489,0,0,0,0,101.944,708.888,810.832
CPV,0,0,4561.888,0.520502,1.60E+09,3080.179,0,1,0,0,7.325,163.155,170.48
CRI,0,0,8652.906,4.80785,5.41E+10,11260.09,0,1,1,0,270715.4,1133.068,271848.4
CYP,0,0,3351.566,1.1653,1.96E+10,16785.33,1,1,1,1,73178.85,67148.16,140327
CZE,0,0,1217.114,10.55122,1.85E+11,17548.34,0,1,1,1,180156.2,108501,288657.3
DEU,0,0,808.641,81.41315,3.36E+12,41313.31,0,1,1,1,4947012,1257876,6204888
DJI,0,0,6038.262,0.887861,1.73E+09,1945.124,0,1,0,0,99.325,514.803,614.128
DMA,0,1,6656.972,0.07268,5.17E+08,7116.387,1,1,1,0,223.104,3326.221,3549.325
DNK,0,0,920.432,5.676002,2.95E+11,51989.29,0,1,1,1,1713521,324047.5,2037569
DOM,0,0,6946.115,10.52839,6.81E+10,6468.474,0,1,0,0,187999,7639.821,195638.8
DZA,0,0,1897.187,39.66652,1.67E+11,4206.031,0,0,1,0,2549.463,52728.41,55277.88
ECU,0,0,9349.662,16.14436,1.00E+11,6205.064,0,1,0,0,150861.4,2439.08,153300.5
EGY,0,0,3636.505,91.50809,3.31E+11,3614.747,1,1,1,0,172224.4,159756.8,331981.2
ESP,0,0,1435.419,46.41827,1.20E+12,25831.58,0,1,1,1,3384570,825323.8,4209894
EST,0,0,1824.883,1.311998,2.25E+10,17118.5,0,1,1,1,4758.803,11534.08,16292.88
