"","fips","state.x","county_name","population_2010","rucc_2013","description","state.y","county.name","urban.rural.description","covid.19.deaths","total.deaths"
"1","01001","AL","Autauga County",54571,2,"Metro - Counties in metro areas of 250,000 to 1 million population","AL","Autauga County","Medium central metro",192,1679
"2","01003","AL","Baldwin County",182265,3,"Metro - Counties in metro areas of fewer than 250,000 population","AL","Baldwin County","Small central metro",643,7777
"3","01005","AL","Barbour County",27457,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Alabama","Barbour County","Micropolitan",NA,NA
"4","01007","AL","Bibb County",22915,1,"Metro - Counties in metro areas of 1 million population or more","Alabama","Bibb County","Large central metro",NA,NA
"5","01009","AL","Blount County",57322,1,"Metro - Counties in metro areas of 1 million population or more","AL","Blount County","Large central metro",102,1689
"6","01011","AL","Bullock County",10914,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Alabama","Bullock County","Micropolitan",NA,NA
"7","01013","AL","Butler County",20947,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Alabama","Butler County","Micropolitan",NA,NA
"8","01015","AL","Calhoun County",118572,3,"Metro - Counties in metro areas of fewer than 250,000 population","AL","Calhoun County","Small central metro",658,5436
"9","01017","AL","Chambers County",34215,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Alabama","Chambers County","Micropolitan",NA,NA
"10","01019","AL","Cherokee County",25989,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Alabama","Cherokee County","Micropolitan",NA,NA
"11","01021","AL","Chilton County",43643,1,"Metro - Counties in metro areas of 1 million population or more","Alabama","Chilton County","Large central metro",NA,NA
"12","01023","AL","Choctaw County",13859,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Alabama","Choctaw County","Rural",NA,NA
"13","01025","AL","Clarke County",25833,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Alabama","Clarke County","Micropolitan",NA,NA
"14","01027","AL","Clay County",13932,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Alabama","Clay County","Rural",NA,NA
"15","01029","AL","Cleburne County",14972,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Alabama","Cleburne County","Rural",NA,NA
"16","01031","AL","Coffee County",49948,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","AL","Coffee County","Micropolitan",199,1705
"17","01033","AL","Colbert County",54428,3,"Metro - Counties in metro areas of fewer than 250,000 population","AL","Colbert County","Small central metro",338,2417
"18","01035","AL","Conecuh County",13228,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Alabama","Conecuh County","Micropolitan",NA,NA
"19","01037","AL","Coosa County",11539,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Alabama","Coosa County","Rural",NA,NA
"20","01039","AL","Covington County",37765,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","AL","Covington County","Micropolitan",259,1877
"21","01041","AL","Crenshaw County",13906,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Alabama","Crenshaw County","Rural",NA,NA
"22","01043","AL","Cullman County",80406,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","AL","Cullman County","Micropolitan",410,3722
"23","01045","AL","Dale County",50251,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","AL","Dale County","Micropolitan",141,1474
"24","01047","AL","Dallas County",43820,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","AL","Dallas County","Micropolitan",208,1654
"25","01049","AL","DeKalb County",71109,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","AL","DeKalb County","Micropolitan",207,2503
"26","01051","AL","Elmore County",79303,2,"Metro - Counties in metro areas of 250,000 to 1 million population","Alabama","Elmore County","Medium central metro",NA,NA
"27","01053","AL","Escambia County",38319,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","AL","Escambia County","Micropolitan",159,1391
"28","01055","AL","Etowah County",104430,3,"Metro - Counties in metro areas of fewer than 250,000 population","AL","Etowah County","Small central metro",757,5611
"29","01057","AL","Fayette County",17241,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Alabama","Fayette County","Micropolitan",NA,NA
"30","01059","AL","Franklin County",31704,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Alabama","Franklin County","Micropolitan",NA,NA
"31","01061","AL","Geneva County",26790,3,"Metro - Counties in metro areas of fewer than 250,000 population","Alabama","Geneva County","Small central metro",NA,NA
"32","01063","AL","Greene County",9045,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Alabama","Greene County","Rural",NA,NA
"33","01065","AL","Hale County",15760,3,"Metro - Counties in metro areas of fewer than 250,000 population","Alabama","Hale County","Small central metro",NA,NA
"34","01067","AL","Henry County",17302,3,"Metro - Counties in metro areas of fewer than 250,000 population","Alabama","Henry County","Small central metro",NA,NA
"35","01069","AL","Houston County",101547,3,"Metro - Counties in metro areas of fewer than 250,000 population","AL","Houston County","Small central metro",1058,6958
"36","01071","AL","Jackson County",53227,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","AL","Jackson County","Micropolitan",162,2131
"37","01073","AL","Jefferson County",658466,1,"Metro - Counties in metro areas of 1 million population or more","AL","Jefferson County","Large central metro",3916,36212
