"","census2019","covid.19.deaths","urban.rural.description","series_complete_pop_pct"
"1",180786,641,"Small central metro",56.2
"2",558753,1714,"Large central metro",69.1
"3",234225,971,"Medium central metro",68.5
"4",55869,192,"Medium central metro",44.3
"5",223234,643,"Small central metro",51
"6",24686,NA,"Micropolitan",45.5
"7",22394,NA,"Large central metro",34.8
"8",57826,102,"Large central metro",31.8
"9",10101,NA,"Micropolitan",53.5
"10",19448,NA,"Micropolitan",39.6
"11",113605,658,"Small central metro",47
"12",33254,NA,"Micropolitan",31.5
"13",26196,NA,"Micropolitan",30.8
"14",44428,NA,"Large central metro",36.4
"15",12589,NA,"Rural",66.4
"16",23622,NA,"Micropolitan",51.2
"17",13235,NA,"Rural",41.8
"18",14910,NA,"Rural",28.9
"19",52342,199,"Micropolitan",47.4
"20",55241,338,"Small central metro",48.1
"21",12067,NA,"Micropolitan",43.7
"22",10663,NA,"Rural",40.7
"23",37049,259,"Micropolitan",38.2
"24",13772,NA,"Rural",34.5
"25",83768,410,"Micropolitan",38.3
"26",49172,141,"Micropolitan",48.1
"27",37196,208,"Micropolitan",45.6
"28",71513,207,"Micropolitan",34
"29",81209,NA,"Medium central metro",46.6
"30",36633,159,"Micropolitan",36.6
"31",102268,757,"Small central metro",41.1
"32",16302,NA,"Micropolitan",35.1
"33",31362,NA,"Micropolitan",43.8
"34",26271,NA,"Small central metro",40.4
"35",8111,NA,"Rural",50.9
"36",14651,NA,"Small central metro",61.5
"37",17205,NA,"Small central metro",45.6
"38",105882,1058,"Small central metro",43.3
"39",51626,162,"Micropolitan",49.5
"40",658573,3916,"Large central metro",58.4
"41",13805,NA,"Rural",44.1
"42",92729,511,"Small central metro",46.7
"43",32924,NA,"Small central metro",47.2
"44",164542,581,"Small central metro",40.3
"45",98915,251,"Medium central metro",39.1
"46",9726,NA,"Medium central metro",51.2
"47",18068,NA,"Micropolitan",48.2
"48",372909,1498,"Medium central metro",62.4
"49",18863,125,"Micropolitan",54.5
