"us_cit","disability","gender","black","marriage_sit","education","birth_12m","native_eng","worker_type","earnings","hours","children","age","fullownership"
"yes","not disabled","female","non-black","married",21,"no","yes","public",78000,33,0,34,"no"
"yes","not disabled","female","black","married",18,"no","yes","private, profit",15000,30,0,67,"no"
"yes","not disabled","female","black","Separated/divorced",9,"no","yes","private, profit",20000,40,0,50,"no"
"yes","not disabled","male","non-black","Separated/divorced",16,"no","yes","private, profit",50000,40,0,49,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, non profit",40000,40,0,28,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",115000,50,1,50,"yes"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",79000,40,3,38,"no"
"yes","not disabled","female","non-black","never married",23,"no","yes","self_employed",770000,70,1,57,"no"
"yes","not disabled","male","non-black","married",13,"no","yes","private, profit",68000,40,1,54,"no"
"yes","not disabled","male","non-black","Separated/divorced",1,"no","yes","private, profit",36000,40,0,52,"no"
"no","not disabled","male","non-black","married",16,"no","no","self_employed",30000,7,0,57,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","public",70000,40,2,53,"yes"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",45000,45,0,31,"yes"
"yes","not disabled","male","non-black","married",22,"no","yes","private, profit",770000,60,0,57,"yes"
"no","not disabled","male","non-black","married",15,"no","yes","private, non profit",24500,40,NA,35,"no"
"no","not disabled","male","non-black","Separated/divorced",17,"no","no","self_employed",3500,30,0,30,"no"
"no","not disabled","male","non-black","married",16,"no","no","private, profit",80000,52,1,27,"no"
"yes","not disabled","male","non-black","Separated/divorced",21,"no","yes","public",100000,45,1,60,"no"
"yes","disabled","male","non-black","never married",22,"no","yes","private, non profit",40000,50,0,32,"no"
"yes","not disabled","female","non-black","never married",22,"no","yes","private, non profit",89000,36,0,30,"no"
"yes","not disabled","female","black","married",20,"no","yes","private, profit",46000,40,0,44,"no"
"yes","not disabled","male","non-black","never married",18,"no","yes","public",45000,40,0,51,"no"
"yes","not disabled","male","non-black","Separated/divorced",18,"no","yes","private, profit",25000,40,0,53,"no"
"yes","disabled","male","non-black","Separated/divorced",17,"no","yes","private, profit",5800,40,NA,43,"no"
"yes","not disabled","female","black","married",21,"no","yes","private, profit",70000,36,0,32,"no"
"yes","not disabled","female","non-black","never married",21,"no","no","private, profit",15100,30,0,25,"yes"
"yes","not disabled","female","non-black","married",22,"no","yes","public",43600,40,1,52,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",400000,40,0,53,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",52000,30,0,65,"yes"
"yes","not disabled","female","black","never married",21,"yes","yes","private, profit",30000,40,0,30,"no"
"no","disabled","male","non-black","married",23,"no","yes","self_employed",200000,40,0,51,"yes"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",57000,40,0,48,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",60000,40,0,55,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","public",34000,40,0,56,"no"
"no","not disabled","male","non-black","married",21,"no","no","private, profit",130000,40,0,32,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, profit",130000,45,0,31,"no"
"no","not disabled","male","non-black","married",16,"no","no","public",95000,48,2,28,"no"
"yes","not disabled","male","non-black","married",17,"no","yes","private, profit",90000,60,0,60,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","public",64000,50,3,30,"no"
"yes","not disabled","female","black","married",15,"no","yes","self_employed",500,8,3,42,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",100000,43,0,55,"yes"
"no","not disabled","male","non-black","Separated/divorced",22,"no","yes","private, profit",200000,55,0,58,"no"
"no","not disabled","male","non-black","married",21,"no","yes","private, profit",200000,50,2,46,"no"
"yes","not disabled","female","non-black","married",20,"no","yes","private, non profit",86000,36,1,33,"yes"
"yes","not disabled","female","non-black","married",19,"no","yes","private, profit",70000,40,0,53,"no"
"yes","disabled","male","non-black","never married",16,"no","yes","self_employed",4000,40,NA,49,"no"
"yes","not disabled","female","black","never married",21,"no","yes","public",15000,40,2,40,"no"
"yes","disabled","female","non-black","married",16,"no","yes","private, profit",43000,40,1,31,"no"
"yes","not disabled","male","non-black","married",17,"no","no","private, non profit",36000,40,2,33,"no"
"no","not disabled","male","non-black","married",3,"no","no","private, profit",46800,40,2,39,"yes"
"yes","not disabled","male","non-black","married",18,"no","yes","private, profit",50000,40,0,39,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","public",70000,80,1,25,"yes"
"yes","not disabled","male","black","married",18,"no","yes","private, profit",130000,48,0,48,"yes"
"yes","not disabled","male","non-black","Separated/divorced",16,"no","yes","private, profit",62000,45,2,64,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","public",85000,40,1,43,"yes"
"yes","not disabled","male","non-black","never married",20,"no","yes","private, profit",50000,60,3,28,"yes"
"no","not disabled","male","non-black","married",19,"no","no","private, profit",51000,40,0,51,"no"
"yes","not disabled","male","non-black","married",18,"no","yes","self_employed",50000,25,0,31,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",2700,40,1,51,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",93000,36,0,60,"yes"
"yes","not disabled","male","non-black","married",22,"no","yes","public",15000,50,1,43,"no"
"yes","not disabled","female","non-black","married",21,"yes","no","private, profit",48000,40,0,37,"yes"
"yes","not disabled","male","non-black","married",21,"no","yes","public",35000,40,0,56,"yes"
"yes","not disabled","female","non-black","never married",20,"no","yes","private, profit",29000,40,1,28,"no"
"yes","not disabled","male","non-black","married",18,"no","yes","private, profit",240000,50,0,61,"no"
"yes","not disabled","male","non-black","married",22,"no","yes","private, profit",7000,40,1,51,"yes"
"yes","not disabled","female","non-black","married",22,"no","yes","private, profit",200000,45,1,58,"no"
"yes","not disabled","female","non-black","Separated/divorced",19,"no","yes","private, profit",60000,40,0,57,"no"
"yes","not disabled","male","non-black","Separated/divorced",20,"no","no","private, profit",51000,40,0,52,"yes"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, profit",190000,40,0,34,"no"
"yes","not disabled","female","non-black","never married",16,"no","yes","private, profit",3200,29,NA,35,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",30000,38,1,44,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","public",48000,40,0,26,"no"
"yes","disabled","female","black","never married",20,"no","yes","public",17400,40,0,55,"no"
"yes","disabled","male","non-black","never married",20,"no","yes","private, profit",45000,60,0,31,"no"
"no","not disabled","male","non-black","married",22,"no","no","private, profit",144000,40,0,28,"no"
"yes","not disabled","male","non-black","Separated/divorced",21,"no","yes","private, profit",69000,40,0,63,"no"
"yes","not disabled","female","non-black","never married",20,"no","yes","private, profit",35000,45,0,33,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",230000,40,0,48,"yes"
"yes","disabled","male","non-black","married",18,"no","yes","private, profit",75000,40,0,60,"yes"
"no","not disabled","male","non-black","married",18,"no","no","private, profit",120000,40,1,46,"yes"
"yes","disabled","male","non-black","never married",16,"no","yes","private, non profit",15000,30,NA,63,"no"
"no","not disabled","female","non-black","never married",15,"no","no","private, profit",30000,40,3,31,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",96000,40,2,40,"no"
"yes","not disabled","male","non-black","never married",20,"no","yes","self_employed",50000,65,0,42,"no"
"yes","not disabled","male","non-black","Separated/divorced",16,"no","yes","private, profit",74000,50,0,59,"no"
"no","not disabled","male","non-black","married",24,"no","yes","private, non profit",180000,99,0,64,"no"
"yes","not disabled","female","black","never married",16,"no","yes","private, profit",25000,40,0,43,"no"
"no","not disabled","female","black","Separated/divorced",21,"no","no","private, profit",111000,50,0,59,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",62000,38,0,52,"no"
"no","not disabled","female","non-black","married",21,"no","no","public",15000,29,2,45,"no"
"no","not disabled","male","non-black","never married",21,"no","yes","private, profit",150000,50,0,27,"no"
"yes","not disabled","male","non-black","never married",17,"no","yes","private, profit",24000,40,0,30,"yes"
"yes","not disabled","male","non-black","married",22,"no","yes","self_employed",300000,50,0,36,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",58000,50,0,32,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","public",63000,40,2,35,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",65000,40,1,33,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","public",40000,40,0,26,"no"
"yes","not disabled","male","non-black","never married",16,"no","yes","private, profit",38000,40,0,43,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",20000,40,2,36,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, non profit",50000,40,2,47,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, profit",83000,50,1,28,"no"
"no","not disabled","female","non-black","never married",9,"no","no","private, profit",85000,40,2,45,"no"
"yes","not disabled","female","non-black","married",1,"no","yes","private, profit",30000,40,5,32,"no"
"yes","not disabled","female","non-black","married",20,"no","yes","public",34000,37,1,53,"no"
"yes","not disabled","female","non-black","married",24,"no","yes","public",15000,25,0,32,"no"
"yes","not disabled","male","non-black","never married",19,"no","no","private, profit",47500,40,0,41,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","public",118000,40,0,33,"no"
"no","not disabled","female","non-black","married",21,"no","yes","private, profit",85000,24,5,42,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",33500,40,0,31,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",48000,44,0,65,"no"
"yes","not disabled","male","non-black","married",20,"no","yes","private, profit",75000,40,1,28,"no"
"yes","not disabled","male","black","Separated/divorced",11,"no","yes","private, profit",12000,40,NA,49,"no"
"yes","not disabled","male","non-black","Separated/divorced",16,"no","yes","private, profit",40000,50,0,39,"no"
"no","not disabled","male","non-black","never married",21,"no","no","private, profit",30000,40,0,26,"no"
"no","not disabled","female","non-black","married",9,"no","yes","private, profit",32000,30,0,43,"no"
"no","not disabled","male","non-black","married",12,"no","no","private, profit",60000,45,4,46,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, non profit",160000,40,0,51,"no"
"yes","not disabled","female","non-black","married",19,"no","yes","private, profit",23000,40,0,42,"yes"
"yes","not disabled","male","non-black","married",21,"no","yes","public",25000,35,0,55,"no"
"yes","not disabled","female","non-black","never married",24,"no","yes","public",87000,30,0,65,"yes"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",30000,40,0,58,"yes"
"yes","not disabled","male","non-black","married",23,"no","yes","private, profit",40000,32,0,62,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",86000,40,2,58,"no"
"no","not disabled","male","non-black","married",20,"no","no","private, non profit",100000,40,0,40,"yes"
"yes","not disabled","female","non-black","married",19,"no","yes","private, profit",40000,40,3,37,"no"
"no","not disabled","female","non-black","married",22,"no","no","self_employed",70000,2,0,62,"yes"
"yes","not disabled","female","non-black","married",22,"no","yes","private, non profit",20000,40,0,67,"yes"
"yes","not disabled","female","non-black","Separated/divorced",17,"no","yes","private, non profit",9000,8,2,32,"no"
"yes","disabled","male","non-black","never married",16,"no","no","private, profit",20000,20,0,37,"yes"
"yes","not disabled","female","non-black","married",22,"no","yes","public",62000,37,0,55,"no"
"yes","disabled","male","non-black","never married",13,"no","yes","private, non profit",46500,40,0,29,"yes"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, profit",150000,40,0,31,"no"
"no","not disabled","female","non-black","Separated/divorced",22,"no","no","private, non profit",50000,40,0,39,"no"
"yes","not disabled","female","non-black","Separated/divorced",18,"no","yes","private, profit",29000,27,0,64,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",73000,40,0,57,"no"
"yes","not disabled","female","non-black","never married",19,"no","yes","private, profit",45000,40,0,36,"no"
"no","not disabled","female","non-black","married",16,"no","no","private, profit",22000,40,0,59,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","self_employed",50000,40,2,46,"no"
"no","not disabled","female","non-black","married",16,"no","no","self_employed",18000,40,2,40,"no"
"yes","not disabled","male","non-black","married",20,"no","yes","private, profit",30000,60,2,47,"no"
"no","not disabled","male","non-black","married",1,"no","no","private, profit",50000,40,4,47,"no"
"no","not disabled","female","non-black","married",1,"no","no","private, profit",600,20,2,55,"no"
"yes","not disabled","male","non-black","Separated/divorced",17,"no","yes","private, profit",25000,35,0,45,"yes"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",640,20,0,29,"no"
"yes","not disabled","male","non-black","never married",16,"no","yes","private, profit",45000,40,0,30,"no"
"yes","not disabled","male","non-black","never married",14,"no","yes","public",25200,52,0,27,"no"
"no","not disabled","male","non-black","never married",1,"no","no","private, profit",37000,40,0,43,"yes"
"yes","not disabled","male","non-black","married",24,"no","no","public",66000,40,2,48,"no"
"yes","not disabled","female","non-black","never married",16,"no","no","private, profit",20000,40,0,25,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",75000,45,4,33,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",250000,5,3,44,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",50000,30,3,39,"yes"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",6900,30,0,48,"no"
"no","not disabled","male","non-black","married",21,"no","no","private, profit",550,18,0,63,"no"
"yes","not disabled","female","non-black","Separated/divorced",21,"no","yes","private, profit",215000,40,0,58,"no"
"no","not disabled","female","non-black","married",21,"no","no","private, profit",85000,45,1,39,"no"
"yes","not disabled","male","non-black","never married",19,"no","no","private, profit",42000,40,0,41,"no"
